YearMonth,Year,Month,numerical_date,Locality,Latitude,Longitude,Eaten_Total,SquidpopMissing,Temperature,PredProbability
2021-August,"2021",August,2021-08,CerroMundo,-0.868333,-89.584444,"9","0","20",0.36
2021-August,"2021",August,2021-08,Loberia,-0.929,-89.612778,"6","0","23",0.24
2021-August,"2021",August,2021-08,PlayaBaquerizo,-0.882778,-89.597778,"2","1","22",0.083333333
2021-August,"2021",August,2021-08,RocaPit,-0.702778,-89.247778,"20","2","23",0.869565217
2021-August,"2021",August,2021-08,Tijeretas,-0.888056,-89.606944,"12","3","22",0.545454545
2021-November,"2021",November,2021-11,CerroBrujo,-0.768454,-89.475027,"9","0","17",0.36
2021-November,"2021",November,2021-11,CerroMundo,-0.868333,-89.584444,"9","1","18",0.375
2021-November,"2021",November,2021-11,LaBarcaza,-0.671363,-89.265137,"17","5","17",0.85
2021-November,"2021",November,2021-11,LeonDormido,-0.778246,-89.518588,"6","0","16",0.24
2021-November,"2021",November,2021-11,RocaPit,-0.702778,-89.247778,"19","5","21",0.95
2021-November,"2021",November,2021-11,Tijeretas,-0.888056,-89.606944,"5","0","18",0.2
2022-January,"2022",January,2022-01,CerroMundo,-0.868333,-89.584444,"4","2","22",0.173913043
2022-January,"2022",January,2022-01,LaBarcaza,-0.671363,-89.265137,"3","0","19",0.12
2022-January,"2022",January,2022-01,LeonDormido,-0.778246,-89.518588,"6","0","23",0.24
2022-January,"2022",January,2022-01,RocaPit,-0.702778,-89.247778,"2","2","22",0.086956522
2022-January,"2022",January,2022-01,Tijeretas,-0.888056,-89.606944,"24","0","20",0.96
2022-March,"2022",March,2022-03,CerroMundo,-0.868333,-89.584444,"20","0","26",0.8
2022-March,"2022",March,2022-03,LaBarcaza,-0.671363,-89.265137,"12","2","25",0.52173913
2022-March,"2022",March,2022-03,RocaPit,-0.702778,-89.247778,"10","1","26",0.416666667
2022-March,"2022",March,2022-03,Tijeretas,-0.888056,-89.606944,"23","1","25",0.958333333
2022-May,"2022",May,2022-05,CerroBrujo,-0.768454,-89.475027,"25","0","22",1
2022-May,"2022",May,2022-05,CerroMundo,-0.868333,-89.584444,"24","1","22",1
2022-May,"2022",May,2022-05,LaBarcaza,-0.671363,-89.265137,"14","1","22",0.583333333
2022-May,"2022",May,2022-05,LeonDormido,-0.778246,-89.518588,"13","0","22",0.52
2022-May,"2022",May,2022-05,RocaPit,-0.702778,-89.247778,"23","0","22",0.92
2022-May,"2022",May,2022-05,Tijeretas,-0.888056,-89.606944,"22","0","23",0.88
2022-August,"2022",August,2022-08,CerroBrujo,-0.768454,-89.475027,"4","0","21",0.16
2022-August,"2022",August,2022-08,CerroMundo,-0.868333,-89.584444,"21","3","20",0.954545455
2022-August,"2022",August,2022-08,LaBarcaza,-0.671363,-89.265137,"13","3","20",0.590909091
2022-August,"2022",August,2022-08,LeonDormido,-0.778246,-89.518588,"19","0","19",0.76
2022-August,"2022",August,2022-08,RocaPit,-0.702778,-89.247778,"25","0","22",1
2022-August,"2022",August,2022-08,Tijeretas,-0.888056,-89.606944,"8","9","20",0.5
2022-November,"2022",November,2022-11,CerroBrujo,-0.768454,-89.475027,"22","0","20",0.88
2022-November,"2022",November,2022-11,CerroMundo,-0.868333,-89.584444,"24","1","20",1
2022-November,"2022",November,2022-11,LaBarcaza,-0.671363,-89.265137,"13","0","16",0.52
2022-November,"2022",November,2022-11,LeonDormido,-0.778246,-89.518588,"17","0","19",0.68
2022-November,"2022",November,2022-11,Loberia,-0.929,-89.612778,"5","0","20",0.2
2022-November,"2022",November,2022-11,RocaPit,-0.702778,-89.247778,"22","0","20",0.88
2022-November,"2022",November,2022-11,Tijeretas,-0.888056,-89.606944,"7","0","20",0.28
